test_id,gas,oil,water,ch1_p1,ch1_p2,ch1_p3,ch1_p4,ch1_p5,ch1_p6,ch1_p7,ch1_p8,ch1_p9,ch1_p10,ch1_p11,ch1_p12,ch1_p13,ch1_p14,ch1_p15,ch1_p16,ch1_p17,ch2_p1,ch2_p2,ch2_p3,ch2_p4,ch2_p5,ch2_p6,ch2_p7,ch2_p8,ch2_p9,ch2_p10,ch2_p11,ch2_p12,ch2_p13,ch2_p14,ch2_p15,ch2_p16,ch2_p17,ch4_p1,ch4_p2,ch4_p3,ch4_p4,ch4_p5,ch4_p6,ch4_p7,ch4_p8,ch4_p9,ch4_p10,ch4_p11,ch4_p12,ch4_p13,ch4_p14,ch4_p15,ch4_p16,ch4_p17
GOW_00,0.059069664,0.552676277,0.026829027,443.4868637,886.9373915,0.01651634,2273.7154,1227.200431,3410.769645,5684.557717,7958.686026,12505.65107,10231.13958,14778.31272,19325.12581,4264.281267,17051.99509,13288.19858,5343.148444,9095.208444,443.4868637,886.9373915,0.006606536,1227.200431,4654.925751,7758.448521,3410.650727,4174.868406,10861.94156,13963.27757,17067.14388,5684.445406,12505.65107,14959.75133,10231.13958,2273.7154,13292.42016,443.4868637,0.049549021,886.9373915,19444.36718,17189.91975,18315.90474,7606.461853,1227.200431,11407.52253,6913.796264,9157.996964,15212.96995,6266.841299,12045.20192,8743.364147,13023.0915,10150.8074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOW_01c,5.566442423,8.711272242,20.01709414,7.039264296,2272.232233,456.6801165,1340.195322,8750.109421,6250.077214,3408.242645,5045.15072,11250.14163,16250.20274,3750.04831,13750.17053,5680.164371,2725.476951,7545.182927,18750.23494,10225.01202,0.026426145,2454.942597,4653.307149,1340.195322,456.6801165,3408.239342,7756.895985,6250.077214,10858.1395,17064.25022,8750.109421,5045.15072,13961.50371,5680.164371,3750.04831,16250.20274,4210.233194,0.019819609,7644.462649,5740.802463,8898.033069,2454.942597,4550.367406,14749.35297,5062.912392,1340.195322,15841.86595,8442.069762,7220.613714,17675.40436,10320.93562,16437.55089,15116.67969,10926.23637
GOW_01,2.182627204,8.7091362,20.01924333,0.006606536,451.3585516,2456.072315,1337.935887,4956.104522,11250.14163,8750.109421,3416.903814,6250.077214,13750.17383,3750.04831,7544.053209,5694.186744,16250.20604,5307.780352,18750.23494,7972.757948,0.006606536,451.3585516,2456.072315,4655.665683,1337.935887,7758.864733,3416.827839,3750.04831,5044.021002,10863.57338,8750.109421,13967.49915,6250.077214,17072.69007,11250.14163,5694.186744,4215.693496,0.01651634,2456.072315,5630.803636,1337.935887,10226.25404,10945.72896,5044.021002,451.3585516,4333.613561,7979.050674,3574.208743,8750.109421,15840.62062,6891.588393,14823.82515,6035.150076,9799.148087
GOW_02,2.544509416,11.52807528,26.63445222,450.2024078,6.936862985,2277.629773,1350.749264,3416.438053,11250.14163,8750.109421,4949.696182,2751.866759,13750.17383,3750.04831,6250.080517,7550.461549,16250.20604,5693.136304,7971.631534,900.4279384,450.2024078,0.006606536,1350.749264,4656.877982,2449.663975,3416.438053,7761.21666,3750.04831,10866.31839,13970.24416,5050.429342,8750.109421,6250.080517,17074.71167,11250.14163,5693.136304,16250.20604,0.049549021,1350.749264,5631.741764,450.1991045,2449.663975,14785.13397,10255.65974,15956.42329,5145.504004,11011.14357,4539.166024,8908.643166,3750.04831,13710.13492,15148.58265,16387.40728,19379.97988
GOW_03,3.29133624,14.25028292,33.3465235,449.8192287,6.926953181,2275.304272,1340.208535,4954.964895,3412.972925,6250.077214,3750.045007,899.635154,8750.106117,11250.13832,2725.509983,13750.16723,16250.19943,5687.94687,7545.18623,12513.58882,449.8192287,22.4523132,4655.424544,2454.935991,1340.208535,7759.637698,3412.972925,5045.157326,10862.56918,3750.045007,6250.077214,13968.47691,8750.106117,5687.94687,17071.26636,12500.25353,899.6384573,0.01651634,449.8192287,14827.03593,3844.921473,5601.781122,2454.935991,1340.208535,4954.964895,15922.22125,10291.54974,4539.341097,13837.45939,11064.16103,6250.077214,15208.48742,19344.00729,13398.7986
GOW_04,4.026115943,16.99738653,40.00521394,449.4855986,6.821248602,2277.775117,1340.218445,3416.048267,898.9480743,4954.958288,6250.077214,8750.106117,11250.13832,3750.045007,13750.16723,2725.539713,7545.192837,5693.671434,16250.19943,18750.22834,449.4855986,23.9222675,2454.929384,4659.276155,1340.218445,3416.048267,7765.557154,10872.42613,13978.70383,3750.045007,5045.163933,17084.90225,6250.077214,898.9480743,8750.106117,5693.169337,12500.25353,23.9222675,449.4855986,4548.292954,2454.929384,14794.38312,5623.519929,1340.218445,4954.958288,3845.529274,4186.406721,15953.57587,10297.75659,6250.077214,13843.15422,15134.54376,1862.868129,3483.26647
GOW_05,3.259172626,28.25883118,28.73219461,450.7177176,10.60349056,901.4354351,2277.150799,3415.156385,4954.588322,8750.106117,1340.96168,6250.077214,3750.045007,13750.16723,2727.392846,5692.330307,7545.562803,11250.13502,18750.22834,5318.367327,24.64898647,450.7177176,4658.5131,2454.559418,1159.070526,3415.156385,5045.533899,3750.045007,7764.496805,13976.38824,10870.19313,8750.106117,17081.47346,6250.077214,12500.25353,5692.330307,1552.886148,24.64898647,450.7177176,14871.96698,4536.318607,5601.02137,2454.559418,15865.5702,5151.915648,1159.070526,15205.6367,8899.397319,3750.045007,14266.0287,13778.38705,1881.211176,16504.30994,10932.49937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOW_06,2.445828956,23.67807802,23.92002405,450.8234222,11.96113375,901.643541,2277.428274,1340.948467,5045.527292,8750.106117,3416.256373,2727.363117,3750.045007,11250.13502,7454.623832,6250.073911,16250.19613,13750.16723,5693.542606,10248.60065,450.8234222,23.9222675,2454.562722,1340.948467,901.643541,4659.253032,3750.045007,3416.256373,5045.527292,7765.682678,13976.98283,8750.106117,10871.69611,17084.53228,12500.25353,6250.077214,5693.063633,23.9222675,450.8234222,14867.98985,2454.562722,1340.948467,5608.057332,15852.70728,4954.594928,15223.97644,3820.44756,1873.986929,13843.72239,14244.97366,16485.30293,8750.106117,10860.27671,6250.077214
