test_id,gas,oil,water,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Peak 33,Peak 34,Peak 35,Peak 36,Peak 37,Peak 38,Peak 39,Peak 40,Peak 41,Peak 42,Peak 43,Peak 44,Peak 45,Peak 46,Peak 47,Peak 48,Peak 49,Peak 50,Peak 51,Peak 52,Peak 53,Peak 54,Peak 55,Peak 56,Peak 57,Peak 58,Peak 59,Peak 60,Peak 61,Peak 62,Peak 63,Peak 64,Peak 65,Peak 66,Peak 67,Peak 68
GOW_01b,5.660516834,8.728814063,20.04460946,7.052477368,2271.439449,1340.195322,3407.281394,456.8684028,5045.154023,11250.14163,13750.17383,3750.04831,2725.480254,8750.109421,6250.080517,16250.20604,7949.955488,5679.008227,7545.18623,4684.433845,0.059458826,2454.942597,4653.508649,1340.195322,3407.281394,7756.165963,456.8684028,3750.04831,10858.37073,5045.154023,13960.77369,17062.63161,6250.080517,5679.008227,8750.109421,11250.14163,4214.64636,28.49068726,2454.942597,4653.508649,1340.195322,7756.440134,3750.04831,5045.154023,17511.94875,18668.81269,11250.14163,17062.13282,15887.04805,10857.74641,5995.676022,16323.70376,8750.109421,11864.19274,0.006606536,5702.134407,8893.699181,2454.942597,7537.046977,4527.379963,1340.195322,5181.955568,8468.476087,15815.05663,14738.78251,10307.84477,17675.41427,15101.98014,10967.78488,19123.50424,7079.679781
GOW_06b,2.440044483,23.6920163,23.92886849,450.8135123,11.96113375,901.630328,2454.562722,1340.948467,5045.527292,8750.106117,3750.045007,3416.877388,6250.077214,13750.16723,7454.623832,11250.13502,16250.19613,5694.616169,4681.79123,18750.22834,450.8135123,23.9222675,2454.562722,901.630328,1340.948467,4659.69567,3417.055764,5045.527292,7766.472159,3750.045007,10873.66486,17085.60915,13978.26119,8750.106117,12500.25353,6250.077214,5694.295752,11.96113375,450.8135123,2454.562722,1340.948467,4659.69567,13170.68151,5045.527292,3750.045007,7766.518405,8750.106117,6250.077214,10873.66486,12718.26261,11632.39251,18695.98537,13978.26119,17085.60915,23.9222675,450.8135123,2454.562722,14960.40538,1340.948467,5597.526513,15864.15971,15303.22184,3750.045007,13719.85974,5158.690651,1877.181189,14629.03804,14246.93911,8927.20423,16591.33454,17347.96791
G_04,163.5269404,0,0,5621.960787,500.5541232,6394.122825,7.158181947,10429.19693,6058.223403,8388.893752,4892.988979,1001.07191,3569.795577,11091.43942,6949.484773,3099.826413,2685.67257,13314.96166,13802.34235,8758.469992,5655.604572,6535.727322,500.5541232,1528.329653,3759.558419,3294.263379,16502.78713,6040.31969,13637.00387,13008.0352,4154.483939,4744.735004,1001.07191,14877.90626,16157.53286,16842.15168,10359.50127,5680.220526,1528.329653,6532.539668,11132.91855,6033.154902,6878.517361,13302.93115,28.33873693,15596.74364,13672.86084,7640.356687,16400.18102,500.5541232,12970.31518,3708.618722,16986.57387,10396.44502,1528.329653,5797.615371,6510.989147,6846.584669,7896.138645,3409.910795,15922.97439,13917.86094,13467.24562,6129.79201,14838.84181,3899.498068,500.5541232,5273.036579,19382.83721,15205.84811,10998.55152
OW_505,0,21.85201208,18.15546066,451.4180104,902.8360208,6.296028976,2269.427758,3405.547178,3074.66542,5675.262321,7946.278951,17021.00713,5271.368428,10211.41907,12487.13955,14755.93969,19289.21929,4921.208798,16076.68537,6807.893489,451.4180104,902.8360208,0.006606536,4654.730858,1238.834541,3405.547178,1850.246341,7757.682163,2984.103022,3797.734288,10858.46983,13962.23704,17064.75892,4264.238324,5675.259018,16071.61816,12480.88316,451.4180104,0.029729413,902.8360208,4654.370802,7757.682163,10860.21065,3422.757205,13962.23704,4044.05899,17063.76133,1883.543284,3074.66542,2397.759724,1447.967747,5075.864507,19511.90911,5653.807595,451.4180104,902.8360208,0.01651634,1849.565868,1238.834541,3306.37316,4550.314554,2759.361875,19459.83639,3993.9352,19919.36723,5681.918406,18322.77884,17177.80666,4914.71127,6274.379357,7967.386834
W_501C3,0,0,50.00117203,548.7157719,166.3955234,892.328325,4817.030329,3524.028798,3867.925432,2269.774602,1814.633808,5202.865255,5836.673213,3058.591718,2710.731162,1225.125978,7943.804803,8625.757894,10213.9791,12484.37141,446.1625109,1210.951655,872.8159204,1743.388922,3587.963552,4484.153397,111.1946104,4153.532597,2189.68026,5119.586563,5534.665321,5912.298232,6614.510266,3215.985836,2734.950723,7549.863658,14894.65052,171.1984752,997.9437156,539.7374893,1786.50648,1399.967958,4181.570737,4575.333506,5027.326285,5919.565422,3414.181921,5465.17447,2183.357805,9760.271925,15100.96604,13207.1529,10841.80814,15433.6646,607.5800093,4782.55412,1193.041335,188.3523464,1588.601082,2331.95532,1972.797587,4264.017005,14691.07672,5687.910534,14313.31828,2747.866502,3429.862534,5350.184405,11040.63515,13251.79987,15025.34102
GO_07,22.90864788,59.99534449,0,6.923649913,2275.063134,467.455377,2611.458046,1343.994081,6250.080517,3750.04831,8750.112724,4953.075425,3412.573229,11250.14493,7453.107632,13750.17383,5687.702428,16250.20604,18750.23825,14787.19851,30.6708442,4657.5023,1803.531524,2453.043218,1343.994081,7761.745183,3750.04831,467.3893116,3412.176837,10866.80067,6250.080517,13971.2913,4176.384606,5047.053402,8750.112724,17076.88852,5687.702428,28.54353955,4657.264465,1677.17161,853.0755903,2453.043218,1343.994081,4262.874074,18850.20505,2037.244348,11845.59204,3190.045271,3899.980346,7761.745183,5098.528229,6250.080517,10866.80067,2827.541328,28.54353955,1587.920609,5608.205979,14869.61505,3808.512852,3419.926304,4418.223469,686.9112957,1986.063512,3017.958217,5068.841759,15817.12117,2611.467956,1184.905386,7058.98811,15216.38553,8886.14791
O_04,0,39.87652198,0.122652248,455.0681216,910.1395466,7.035961028,2276.156515,1728.752141,4443.955928,3403.168825,5690.100601,5237.774192,15836.5609,7966.891344,2653.825763,3750.761816,10242.67789,12519.2308,14795.38071,1334.143735,455.0681216,1334.355144,4443.955928,910.1395466,0.08588497,1731.30887,3397.041263,2759.24626,4806.912419,3737.076377,7766.197988,16333.60695,10873.23213,5690.460657,13978.54527,17085.62897,15036.44331,210.1539158,4483.585235,1728.752141,17678.38721,857.5350023,7766.197988,1334.355144,10873.23213,3398.045456,2916.18783,5009.131885,13976.87712,17085.62897,4054.497317,5521.637232,16478.43874,19255.09983,455.0681216,17678.38721,910.1395466,0.026426145,2759.24626,1969.870892,4598.634759,9700.050045,1562.693551,3427.127429,10868.79584,10499.35504,19256.14697,5811.307417,3093.56672,16494.51245,3969.088017
GW_503,3.733543475,0,40.00067082,6.860887819,451.5963869,2267.653903,1343.17487,3401.844215,6250.080517,4953.48503,3750.04831,8750.112724,11250.14493,2732.929123,7453.517237,5669.220643,16250.20604,13750.17383,18750.23825,7936.910883,451.5963869,0.023122877,2453.452824,1343.17487,4653.62096,3401.844215,7755.208015,3750.04831,6250.080517,5046.643797,10858.82658,13960.16919,17064.6334,16379.18875,8750.112724,1810.448567,5669.167791,28.6624572,4653.426067,5947.045309,1343.17487,2453.452824,5052.933219,17595.34305,18910.17919,15671.56927,11858.90421,3958.844583,3383.507773,17255.60523,4289.855168,18564.20149,16104.25114,16839.41658,5583.388525,4549.868613,22.462223,2453.452824,1343.17487,14835.89529,4168.641746,5916.14654,7686.239081,3439.636905,5115.374896,8887.779725,3805.982549,1865.130867,10565.87295,2837.91359,15929.4521
W_05,0,0,50.00203841,443.3018807,6.956682594,886.6070647,2462.483959,3676.669513,4962.516165,8750.112724,6250.080517,1226.579416,11250.14493,16250.21265,4048.039428,13750.17714,18750.24485,5319.034587,5687.917141,7961.939745,443.3018807,886.6037614,0.006606536,3704.383932,2462.483959,1463.608721,2938.088498,4513.020657,1800.542066,3370.552356,4962.516165,4144.181046,7764.704911,6250.080517,13975.15942,10872.09581,8750.112724,443.3018807,28.47086765,886.6070647,2462.483959,4024.526766,4659.36204,1325.115903,3599.852014,6250.080517,5037.612662,7764.704911,8750.112724,17531.44463,10870.95288,13976.69875,2824.145568,5688.482,443.3018807,0.006606536,886.6070647,3704.383932,1540.323819,2462.483959,4413.278477,4051.151106,2813.763397,4791.278051,6241.1683,5668.186721,15846.35509,1871.635002,3228.511828,16472.09647,10159.14815
O_03,0,29.92592675,0.07426103,455.1176707,910.2386446,0.006606536,2276.318376,3414.869001,5229.198908,5690.83723,2652.973519,7967.201851,15836.57742,10244.06196,19350.32645,14797.24706,12519.98395,17075.6564,3804.908987,13373.30728,455.1176707,0.006606536,910.2386446,4661.119378,3414.869001,2759.091007,1261.029199,7768.047818,10875.29667,3745.374186,13982.46956,15036.30457,1623.361373,17089.43433,12465.75419,5690.83723,15836.57411,210.1704321,4661.119378,7768.047818,10876.0333,13983.46714,17091.07936,5252.21608,2921.096487,3395.792627,2523.221149,13289.58265,910.218825,1553.682236,19253.89084,4278.657089,3901.285136,11573.34659,455.1176707,910.2386446,0.023122877,2775.501643,1623.361373,1969.114443,19229.28149,4563.48138,2343.622463,17373.05293,7599.092262,16347.83743,3888.778963,18304.90816,3280.696857,9152.66549,10868.22768
